日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-17,'002067,景兴纸业,4.23,4.33,4.23,4.3,21611879,92608758.18
2019-04-16,'002067,景兴纸业,4.18,4.25,4.1,4.24,20392326,85158212.8
2019-04-15,'002067,景兴纸业,4.34,4.37,4.17,4.17,30146356,129152656.18
2019-04-12,'002067,景兴纸业,4.34,4.38,4.26,4.31,20834673,89827968.72
2019-04-11,'002067,景兴纸业,4.45,4.48,4.37,4.37,22998311,101538209.8
2019-04-10,'002067,景兴纸业,4.46,4.55,4.38,4.47,38395692,171707193.8
2019-04-09,'002067,景兴纸业,4.42,4.51,4.35,4.51,35029445,155287239.65
2019-04-08,'002067,景兴纸业,4.56,4.57,4.37,4.43,38578894,172108770.41
2019-04-04,'002067,景兴纸业,4.44,4.55,4.38,4.49,43929848,196098555.53
2019-04-03,'002067,景兴纸业,4.4,4.45,4.34,4.44,33137593,146434499.36
2019-04-02,'002067,景兴纸业,4.37,4.45,4.31,4.37,35775959,157106213.96
2019-04-01,'002067,景兴纸业,4.24,4.38,4.22,4.34,39186480,169069617.78
2019-03-29,'002067,景兴纸业,4.12,4.24,4.06,4.21,24242853,101022207.02
2019-03-28,'002067,景兴纸业,4.21,4.27,4.07,4.1,31249697,130650285.41
2019-03-27,'002067,景兴纸业,4.4,4.45,4.19,4.28,39421158,168681103.14
2019-03-26,'002067,景兴纸业,4.3,4.42,4.23,4.33,56104089,242864555.91
2019-03-25,'002067,景兴纸业,4.14,4.62,4.1,4.28,62557930,272307737.82
2019-03-22,'002067,景兴纸业,4.16,4.22,4.1,4.2,30543439,127233617.3
2019-03-21,'002067,景兴纸业,4.15,4.24,4.14,4.16,40828738,171576571.51
2019-03-20,'002067,景兴纸业,4.17,4.21,4.06,4.17,30635051,126597978.09
2019-03-19,'002067,景兴纸业,4.25,4.25,4.15,4.19,26207198,110035166.23
2019-03-18,'002067,景兴纸业,4.15,4.25,4.08,4.25,40517629,169184684.37
2019-03-15,'002067,景兴纸业,4.08,4.2,4.02,4.18,37850039,155913745.12
2019-03-14,'002067,景兴纸业,4.1,4.15,3.95,4.06,35849863,144431589.12
2019-03-13,'002067,景兴纸业,4.15,4.3,4.11,4.14,46886244,196784614.0
2019-03-12,'002067,景兴纸业,4.13,4.22,4.08,4.16,41850543,173777304.96
2019-03-11,'002067,景兴纸业,3.93,4.1,3.91,4.09,30838248,123537227.24
2019-03-08,'002067,景兴纸业,4.17,4.18,3.92,3.92,46432784,189431551.69
2019-03-07,'002067,景兴纸业,4.09,4.26,4.05,4.24,54478491,228025867.88
2019-03-06,'002067,景兴纸业,4.02,4.1,3.98,4.1,47064300,190609070.71
2019-03-05,'002067,景兴纸业,3.96,4.04,3.93,4.02,31569446,125885161.59
2019-03-04,'002067,景兴纸业,3.94,4.06,3.94,3.98,43403577,173184662.08
2019-03-01,'002067,景兴纸业,3.98,3.98,3.87,3.94,35188692,137834863.89
2019-02-28,'002067,景兴纸业,3.88,4.15,3.87,4.01,48228653,192352616.93
2019-02-27,'002067,景兴纸业,3.88,3.97,3.85,3.9,30752443,120306246.58
2019-02-26,'002067,景兴纸业,3.94,4.01,3.86,3.9,44487438,175394459.52
2019-02-25,'002067,景兴纸业,3.79,3.94,3.75,3.93,38477259,148336755.53
2019-02-22,'002067,景兴纸业,3.66,3.74,3.64,3.74,19311190,71405395.31
2019-02-21,'002067,景兴纸业,3.7,3.8,3.65,3.67,25097198,93645554.15
2019-02-20,'002067,景兴纸业,3.69,3.73,3.65,3.71,14807784,54641632.6
2019-02-19,'002067,景兴纸业,3.71,3.76,3.65,3.69,17224868,63699574.14
2019-02-18,'002067,景兴纸业,3.56,3.73,3.55,3.72,29948327,109856019.94
2019-02-15,'002067,景兴纸业,3.52,3.62,3.51,3.53,12351480,43929029.59
2019-02-14,'002067,景兴纸业,3.54,3.55,3.51,3.53,9968674,35184360.9
2019-02-13,'002067,景兴纸业,3.47,3.55,3.46,3.53,11163026,39201734.56
2019-02-12,'002067,景兴纸业,3.43,3.49,3.41,3.47,8101600,28042410.0
2019-02-11,'002067,景兴纸业,3.36,3.43,3.36,3.43,7078698,24094963.82
2019-02-01,'002067,景兴纸业,3.3,3.37,3.3,3.34,6711146,22419953.63
2019-01-31,'002067,景兴纸业,3.48,3.49,3.28,3.29,19588006,65501788.26
2019-01-30,'002067,景兴纸业,3.48,3.55,3.48,3.48,6690659,23502082.32
2019-01-29,'002067,景兴纸业,3.63,3.63,3.47,3.51,11451400,40501930.0
2019-01-28,'002067,景兴纸业,3.62,3.66,3.6,3.63,9992894,36291509.71
2019-01-25,'002067,景兴纸业,3.6,3.65,3.6,3.61,10826516,39272985.24
2019-01-24,'002067,景兴纸业,3.6,3.64,3.58,3.6,8790869,31805289.78
2019-01-23,'002067,景兴纸业,3.59,3.62,3.57,3.61,5205600,18727860.0
2019-01-22,'002067,景兴纸业,3.65,3.65,3.57,3.59,8284863,29897176.92
2019-01-21,'002067,景兴纸业,3.65,3.68,3.63,3.65,8624572,31521446.32
2019-01-18,'002067,景兴纸业,3.6,3.67,3.57,3.65,11437794,41429860.42
2019-01-17,'002067,景兴纸业,3.63,3.65,3.58,3.59,10141362,36638828.06
2019-01-16,'002067,景兴纸业,3.69,3.71,3.63,3.64,13117868,47976864.8
2019-01-15,'002067,景兴纸业,3.67,3.72,3.65,3.7,14267795,52525896.53
2019-01-14,'002067,景兴纸业,3.73,3.84,3.66,3.69,20822077,77882942.02
2019-01-11,'002067,景兴纸业,3.68,3.76,3.63,3.72,24209850,89600637.14
2019-01-10,'002067,景兴纸业,3.6,3.8,3.59,3.66,27279189,100762868.43
2019-01-09,'002067,景兴纸业,3.63,3.68,3.6,3.6,14685827,53524629.32
2019-01-08,'002067,景兴纸业,3.61,3.65,3.58,3.63,10398355,37631542.03
2019-01-07,'002067,景兴纸业,3.6,3.62,3.56,3.61,13430843,48322149.8
2019-01-04,'002067,景兴纸业,3.44,3.57,3.43,3.56,10654830,37564340.74
2019-01-03,'002067,景兴纸业,3.49,3.55,3.47,3.48,6461853,22673508.8
2019-01-02,'002067,景兴纸业,3.52,3.53,3.48,3.49,4674500,16353902.82
