日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-17,'600734,实达集团,9.1,9.44,9.04,9.31,37025100,342149270.0
2019-04-16,'600734,实达集团,8.5,9.34,8.42,9.12,35455478,317640773.0
2019-04-15,'600734,实达集团,8.8,8.89,8.56,8.58,15779899,138332702.0
2019-04-12,'600734,实达集团,8.48,8.63,8.4,8.58,9799522,83610483.0
2019-04-11,'600734,实达集团,8.74,8.75,8.51,8.52,13190946,113743818.0
2019-04-10,'600734,实达集团,8.8,8.81,8.6,8.75,13682195,119197940.0
2019-04-09,'600734,实达集团,8.63,8.88,8.53,8.8,18658167,163560889.0
2019-04-08,'600734,实达集团,8.91,8.93,8.51,8.7,30708144,267678915.0
2019-04-04,'600734,实达集团,9.08,9.18,8.88,9.04,33973030,305307210.0
2019-04-03,'600734,实达集团,9.16,9.26,9.05,9.22,30903423,282708360.0
2019-04-02,'600734,实达集团,9.39,9.48,9.15,9.35,39848580,370486256.0
2019-04-01,'600734,实达集团,9.0,9.34,8.84,9.24,39759131,363542593.0
2019-03-29,'600734,实达集团,8.6,8.97,8.35,8.87,38249166,332679889.0
2019-03-28,'600734,实达集团,8.71,9.47,8.7,8.99,46006243,415137548.0
2019-03-27,'600734,实达集团,8.99,9.14,8.36,8.7,40271854,353419202.0
2019-03-26,'600734,实达集团,9.18,9.53,8.98,9.07,63764738,590264467.0
2019-03-25,'600734,实达集团,10.99,11.23,9.97,9.98,99049161,1075237918.0
2019-03-22,'600734,实达集团,9.65,10.21,9.46,10.21,66210970,650699116.0
2019-03-21,'600734,实达集团,8.44,9.28,8.35,9.28,26847756,239365702.0
2019-03-20,'600734,实达集团,8.48,8.5,8.05,8.44,19452790,161615968.0
2019-03-19,'600734,实达集团,8.47,8.68,8.41,8.53,17749564,151994033.0
2019-03-18,'600734,实达集团,8.28,8.52,8.28,8.5,16538344,139280516.0
2019-03-15,'600734,实达集团,8.32,8.5,8.22,8.32,19405331,162375360.0
2019-03-14,'600734,实达集团,8.92,8.92,8.12,8.24,29785148,251251711.0
2019-03-13,'600734,实达集团,9.42,9.46,8.78,8.9,37125497,340698449.0
2019-03-12,'600734,实达集团,9.48,9.75,9.3,9.53,46619114,445061544.0
2019-03-11,'600734,实达集团,9.42,9.54,8.9,9.48,40693682,378573349.0
2019-03-08,'600734,实达集团,9.0,9.69,8.66,9.27,52480680,484797634.0
2019-03-07,'600734,实达集团,9.25,9.38,9.0,9.27,43592816,399465953.0
2019-03-06,'600734,实达集团,9.05,9.74,8.8,9.38,54806345,506020482.0
2019-03-05,'600734,实达集团,8.61,9.17,8.51,9.01,46660603,413646230.0
2019-03-04,'600734,实达集团,8.64,8.97,8.46,8.68,50244812,440360673.0
2019-03-01,'600734,实达集团,8.84,9.28,8.37,8.53,68141025,601084700.0
2019-02-28,'600734,实达集团,7.83,8.64,7.83,8.64,55323363,464376563.0
2019-02-27,'600734,实达集团,8.0,8.14,7.7,7.85,28101908,223311661.0
2019-02-26,'600734,实达集团,8.3,8.3,8.03,8.06,41786474,341043536.0
2019-02-25,'600734,实达集团,8.24,8.49,8.11,8.43,43767551,363476037.0
2019-02-22,'600734,实达集团,7.81,8.15,7.73,8.06,35646544,284605227.0
2019-02-21,'600734,实达集团,7.7,8.36,7.66,7.89,44979488,360808229.0
2019-02-20,'600734,实达集团,7.84,7.85,7.61,7.77,26440045,204550272.0
2019-02-19,'600734,实达集团,7.7,8.0,7.61,7.94,38045446,297650468.0
2019-02-18,'600734,实达集团,7.41,7.74,7.36,7.7,30172176,228774725.0
2019-02-15,'600734,实达集团,7.28,7.55,7.23,7.38,28577882,211667089.0
2019-02-14,'600734,实达集团,7.42,7.44,7.22,7.35,26222424,191844441.0
2019-02-13,'600734,实达集团,7.23,7.44,7.17,7.41,33267032,244071078.0
2019-02-12,'600734,实达集团,7.3,7.6,7.17,7.25,45542820,335179253.0
2019-02-11,'600734,实达集团,6.67,7.15,6.65,7.15,27051438,186953668.0
2019-02-01,'600734,实达集团,6.38,6.62,6.38,6.5,19055676,123976823.0
2019-01-31,'600734,实达集团,6.26,6.55,6.18,6.25,27358231,173618017.0
2019-01-30,'600734,实达集团,6.91,7.05,6.59,6.6,23114704,157659459.0
2019-01-29,'600734,实达集团,7.3,7.3,6.82,7.01,19536310,136820148.0
2019-01-28,'600734,实达集团,7.34,7.37,7.23,7.28,12605689,92089930.0
2019-01-25,'600734,实达集团,7.62,7.65,7.18,7.26,23886179,177219459.0
2019-01-24,'600734,实达集团,7.74,7.81,7.61,7.66,17464673,134462834.0
