日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600004,白云机场,14.64,15.38,14.3,15.24,28690835,428177808.0
2019-04-29,'600004,白云机场,14.5,15.09,14.48,15.04,24877159,370170190.0
2019-04-26,'600004,白云机场,14.31,14.8,14.26,14.51,15425754,225882330.0
2019-04-25,'600004,白云机场,14.4,14.94,14.31,14.45,21479930,314386101.0
2019-04-24,'600004,白云机场,14.16,14.46,14.14,14.33,8920879,127376719.0
2019-04-23,'600004,白云机场,14.13,14.43,13.95,14.16,12404459,176166809.0
2019-04-22,'600004,白云机场,14.49,14.6,14.07,14.13,11457750,163860756.0
2019-04-19,'600004,白云机场,14.18,14.48,14.13,14.44,11406684,163265029.0
2019-04-18,'600004,白云机场,14.27,14.35,14.05,14.18,8986060,127512845.0
2019-04-17,'600004,白云机场,14.28,14.36,14.13,14.19,13856285,196977800.0
2019-04-16,'600004,白云机场,13.97,14.31,13.93,14.3,12265863,174291755.0
2019-04-15,'600004,白云机场,14.25,14.3,14.03,14.05,14263559,201716902.0
2019-04-12,'600004,白云机场,14.22,14.35,13.96,14.07,9019341,127165570.0
2019-04-11,'600004,白云机场,14.25,14.56,14.09,14.25,13483858,192889867.0
2019-04-10,'600004,白云机场,14.4,14.46,13.95,14.3,19332294,274936837.0
2019-04-09,'600004,白云机场,14.41,14.76,14.36,14.47,14028391,203919277.0
2019-04-08,'600004,白云机场,14.82,14.85,14.29,14.46,32076319,466852220.0
2019-04-04,'600004,白云机场,15.62,16.45,14.9,15.0,41519862,641817482.0
2019-04-03,'600004,白云机场,14.7,15.0,14.62,14.95,11074213,164100041.0
2019-04-02,'600004,白云机场,15.16,15.16,14.68,14.7,19773772,293161644.0
2019-04-01,'600004,白云机场,14.82,15.37,14.8,15.01,21987266,331071868.0
