日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600000,浦发银行,11.7,12.09,11.7,11.97,123474738,1466714710.0
2019-04-29,'600000,浦发银行,11.35,11.54,11.34,11.48,38586938,442046727.0
2019-04-26,'600000,浦发银行,11.43,11.56,11.28,11.32,42469581,485267261.0
2019-04-25,'600000,浦发银行,11.56,11.69,11.48,11.54,40876129,473973527.0
2019-04-24,'600000,浦发银行,11.76,11.77,11.51,11.62,38201108,444929313.0
2019-04-23,'600000,浦发银行,11.68,11.8,11.63,11.7,33847719,396659664.0
2019-04-22,'600000,浦发银行,12.02,12.07,11.68,11.71,53389418,631192357.0
2019-04-19,'600000,浦发银行,12.01,12.2,11.86,12.01,56013041,672739660.0
2019-04-18,'600000,浦发银行,11.91,12.05,11.84,11.91,43048980,513835270.0
2019-04-17,'600000,浦发银行,11.96,12.09,11.88,11.91,68157211,816127043.0
2019-04-16,'600000,浦发银行,11.46,11.99,11.43,11.95,100665400,1188260123.0
2019-04-15,'600000,浦发银行,11.67,11.77,11.46,11.47,70509167,823853432.0
2019-04-12,'600000,浦发银行,11.47,11.56,11.43,11.49,26273690,301752036.0
2019-04-11,'600000,浦发银行,11.47,11.59,11.35,11.47,50172794,575765348.0
2019-04-10,'600000,浦发银行,11.5,11.56,11.42,11.48,41027539,470666649.0
2019-04-09,'600000,浦发银行,11.72,11.75,11.49,11.54,56895992,660406225.0
2019-04-08,'600000,浦发银行,11.79,11.96,11.65,11.72,77870373,920513531.0
2019-04-04,'600000,浦发银行,11.55,11.71,11.54,11.71,75232527,876099547.0
2019-04-03,'600000,浦发银行,11.37,11.54,11.34,11.5,50271029,575799446.0
2019-04-02,'600000,浦发银行,11.5,11.52,11.41,11.44,46714710,534896810.0
2019-04-01,'600000,浦发银行,11.36,11.52,11.29,11.44,70637405,808657530.0
