日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000009,中国宝安,5.89,6.33,5.86,6.18,39910850,245381998.34
2019-04-29,'000009,中国宝安,6.21,6.24,5.74,5.8,41456061,246103307.09
2019-04-26,'000009,中国宝安,6.13,6.29,6.13,6.18,24585810,152965990.28
2019-04-25,'000009,中国宝安,6.62,6.64,6.2,6.2,47380162,303086636.04
2019-04-24,'000009,中国宝安,6.6,6.68,6.53,6.64,27137957,179234229.48
2019-04-23,'000009,中国宝安,6.78,6.8,6.51,6.57,49721409,330060727.41
2019-04-22,'000009,中国宝安,7.2,7.24,6.85,6.85,73918515,520057770.36
2019-04-19,'000009,中国宝安,6.67,7.28,6.56,7.07,104703062,727810656.19
2019-04-18,'000009,中国宝安,6.71,6.75,6.61,6.64,25399547,169407280.13
2019-04-17,'000009,中国宝安,6.68,6.74,6.63,6.68,27562888,184358106.93
2019-04-16,'000009,中国宝安,6.5,6.71,6.42,6.67,32885240,215493761.2
2019-04-15,'000009,中国宝安,6.71,6.85,6.56,6.58,36949732,248383197.74
2019-04-12,'000009,中国宝安,6.65,6.69,6.47,6.56,21431463,140803887.6
2019-04-11,'000009,中国宝安,6.79,6.81,6.55,6.59,37024909,247089861.33
2019-04-10,'000009,中国宝安,6.72,6.85,6.66,6.76,36153501,243863781.86
2019-04-09,'000009,中国宝安,6.86,7.04,6.68,6.87,41167970,282364854.9
2019-04-08,'000009,中国宝安,7.21,7.34,6.78,6.88,87175085,612606908.57
2019-04-04,'000009,中国宝安,6.98,7.36,6.87,7.19,89522350,637715697.77
2019-04-03,'000009,中国宝安,7.0,7.0,6.84,6.94,51854086,357665963.62
2019-04-02,'000009,中国宝安,6.94,7.13,6.83,7.0,75951879,532492102.57
2019-04-01,'000009,中国宝安,6.77,6.94,6.72,6.88,58722933,402621812.82
