日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000007,全新好,6.18,6.42,6.13,6.3,4340684,27364155.38
2019-04-29,'000007,全新好,6.28,6.47,5.71,6.32,11207261,68849416.41
2019-04-26,'000007,全新好,6.45,6.62,6.07,6.23,6856129,43471435.26
2019-04-25,'000007,全新好,7.03,7.05,6.39,6.5,10599500,70842920.51
2019-04-24,'000007,全新好,7.02,7.12,6.95,7.1,5917604,41591924.12
2019-04-23,'000007,全新好,7.32,7.4,7.08,7.08,9121735,65546711.92
2019-04-22,'000007,全新好,7.14,7.43,7.1,7.32,13519240,98498190.38
2019-04-19,'000007,全新好,7.11,7.18,7.04,7.12,5278050,37505969.0
2019-04-18,'000007,全新好,7.24,7.28,7.05,7.16,5668001,40574631.28
2019-04-17,'000007,全新好,7.2,7.3,7.17,7.24,6605844,47834976.51
2019-04-16,'000007,全新好,7.07,7.26,6.96,7.24,6460871,45912752.91
2019-04-15,'000007,全新好,7.17,7.25,7.05,7.06,4919790,35277446.67
2019-04-12,'000007,全新好,7.21,7.31,7.01,7.1,7710853,55002270.65
2019-04-11,'000007,全新好,7.44,7.49,7.23,7.38,7836950,57538338.72
2019-04-10,'000007,全新好,7.43,7.58,7.31,7.47,8476749,63572074.6
2019-04-09,'000007,全新好,7.38,7.52,7.29,7.45,7339100,54549181.46
2019-04-08,'000007,全新好,7.57,7.64,7.2,7.31,9726837,72099207.77
2019-04-04,'000007,全新好,7.71,7.8,7.52,7.57,10592500,80854135.5
2019-04-03,'000007,全新好,7.54,7.73,7.36,7.68,13043571,99117991.67
2019-04-02,'000007,全新好,7.53,7.92,7.41,7.61,15536527,118644166.86
2019-04-01,'000007,全新好,7.21,7.68,7.21,7.53,14283797,106578212.14
