日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000006,深振业Ａ,6.07,6.25,6.07,6.1,7719640,47496102.92
2019-04-29,'000006,深振业Ａ,6.14,6.2,5.99,6.09,10676376,65394136.35
2019-04-26,'000006,深振业Ａ,6.2,6.23,6.13,6.13,9295805,57457317.57
2019-04-25,'000006,深振业Ａ,6.47,6.48,6.15,6.18,12915101,81440339.39
2019-04-24,'000006,深振业Ａ,6.45,6.51,6.34,6.49,10218974,65671596.42
2019-04-23,'000006,深振业Ａ,6.53,6.57,6.43,6.45,9152550,59503259.41
2019-04-22,'000006,深振业Ａ,6.73,6.75,6.51,6.52,13500885,88926122.65
2019-04-19,'000006,深振业Ａ,6.71,6.75,6.59,6.7,10151610,67646992.0
2019-04-18,'000006,深振业Ａ,6.77,6.81,6.69,6.71,12287348,83092011.27
2019-04-17,'000006,深振业Ａ,6.81,6.85,6.75,6.78,13107867,89098162.92
2019-04-16,'000006,深振业Ａ,6.75,6.86,6.59,6.84,22255960,149253012.85
2019-04-15,'000006,深振业Ａ,7.03,7.05,6.76,6.78,21658800,150032117.6
2019-04-12,'000006,深振业Ａ,6.88,6.94,6.81,6.92,12219468,84077384.86
2019-04-11,'000006,深振业Ａ,7.0,7.06,6.85,6.87,17083367,118868507.9
2019-04-10,'000006,深振业Ａ,7.06,7.1,6.94,7.0,17558516,123215449.95
2019-04-09,'000006,深振业Ａ,7.08,7.17,7.0,7.1,20300457,143961954.98
2019-04-08,'000006,深振业Ａ,7.25,7.27,6.93,7.09,29259009,207697440.85
2019-04-04,'000006,深振业Ａ,7.19,7.22,7.03,7.13,28590924,203912679.54
2019-04-03,'000006,深振业Ａ,6.96,7.23,6.9,7.16,35348798,252372933.65
2019-04-02,'000006,深振业Ａ,7.01,7.27,6.99,6.99,41284792,293753263.85
2019-04-01,'000006,深振业Ａ,6.85,7.03,6.77,7.0,43447265,302036963.79
