日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600006,东风汽车,5.64,5.74,5.53,5.7,36641020,207533933.0
2019-04-29,'600006,东风汽车,6.03,6.05,5.57,5.61,54949260,316788761.0
2019-04-26,'600006,东风汽车,6.0,6.19,5.85,6.04,48220162,289501897.0
2019-04-25,'600006,东风汽车,6.49,6.55,6.03,6.1,66011489,412144655.0
2019-04-24,'600006,东风汽车,6.4,6.58,6.29,6.47,61545088,396941209.0
2019-04-23,'600006,东风汽车,6.66,6.66,6.28,6.33,74196184,475499634.0
2019-04-22,'600006,东风汽车,6.92,6.97,6.65,6.68,85978684,582108135.0
2019-04-19,'600006,东风汽车,6.9,7.37,6.82,7.03,112843999,797822217.0
2019-04-18,'600006,东风汽车,7.67,7.93,7.1,7.16,192308216,1439509390.0
2019-04-17,'600006,东风汽车,6.9,7.67,6.81,7.67,218394497,1600334015.0
2019-04-16,'600006,东风汽车,6.48,7.26,6.37,6.97,145882558,986296103.0
2019-04-15,'600006,东风汽车,6.85,7.41,6.46,6.88,202417408,1390941077.0
2019-04-12,'600006,东风汽车,6.85,6.85,6.77,6.85,142450044,975453090.0
2019-04-11,'600006,东风汽车,6.23,6.23,6.23,6.23,18185775,113297378.0
2019-04-10,'600006,东风汽车,5.18,5.75,5.14,5.66,88350252,492394233.0
2019-04-09,'600006,东风汽车,5.2,5.36,5.13,5.23,26903353,140959409.0
2019-04-08,'600006,东风汽车,5.39,5.4,5.12,5.2,37755221,198343276.0
2019-04-04,'600006,东风汽车,5.12,5.39,5.12,5.26,48579017,254827121.0
2019-04-03,'600006,东风汽车,5.2,5.2,5.05,5.12,40254617,205878979.0
2019-04-02,'600006,东风汽车,5.4,5.4,5.01,5.2,81017515,420644643.0
2019-04-01,'600006,东风汽车,4.63,5.09,4.63,5.09,37648087,184296743.0
