日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600009,上海机场,70.0,71.0,69.51,70.63,6810203,478120021.0
2019-04-29,'600009,上海机场,68.99,71.66,67.55,70.5,13589570,948697996.0
2019-04-26,'600009,上海机场,67.4,68.47,66.05,66.08,10129992,679890390.0
2019-04-25,'600009,上海机场,67.1,69.2,66.94,68.45,7767866,531754116.0
2019-04-24,'600009,上海机场,68.95,69.28,66.2,67.9,10173878,685776562.0
2019-04-23,'600009,上海机场,66.75,69.85,66.0,69.23,9435916,644648429.0
2019-04-22,'600009,上海机场,66.66,68.35,66.1,66.5,6196029,416016388.0
2019-04-19,'600009,上海机场,64.08,67.3,63.48,66.56,9710572,634745066.0
2019-04-18,'600009,上海机场,63.22,64.5,62.51,64.08,5755314,367582279.0
2019-04-17,'600009,上海机场,62.55,63.4,62.1,63.0,4994231,313839018.0
2019-04-16,'600009,上海机场,60.6,62.5,60.53,62.5,5994675,371574957.0
2019-04-15,'600009,上海机场,61.4,62.68,61.06,61.15,6094894,376391527.0
2019-04-12,'600009,上海机场,61.0,61.9,60.45,60.77,4748072,289771785.0
2019-04-11,'600009,上海机场,62.8,63.5,61.2,61.44,5911353,367408392.0
2019-04-10,'600009,上海机场,61.01,63.6,61.01,62.88,8517944,533179292.0
2019-04-09,'600009,上海机场,60.8,61.73,60.5,61.5,5580120,341264521.0
2019-04-08,'600009,上海机场,61.2,62.0,60.0,61.06,10577160,644144846.0
2019-04-04,'600009,上海机场,65.5,66.36,61.8,62.57,13675263,874927723.0
2019-04-03,'600009,上海机场,61.77,62.47,61.0,62.17,5343220,330085619.0
2019-04-02,'600009,上海机场,61.8,62.4,61.36,62.07,5715901,353322915.0
2019-04-01,'600009,上海机场,62.0,64.3,61.2,61.71,10764603,671575007.0
