日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000008,神州高铁,4.21,4.33,4.21,4.29,23543140,100965340.09
2019-04-29,'000008,神州高铁,4.49,4.53,4.13,4.21,51735817,222773763.7
2019-04-26,'000008,神州高铁,4.46,4.56,4.45,4.49,26655094,119757411.13
2019-04-25,'000008,神州高铁,4.67,4.69,4.48,4.48,43261738,198418819.02
2019-04-24,'000008,神州高铁,4.66,4.71,4.63,4.69,31459332,146860087.22
2019-04-23,'000008,神州高铁,4.67,4.71,4.63,4.67,44241028,206415883.46
2019-04-22,'000008,神州高铁,4.8,4.82,4.66,4.67,40118986,189374309.35
2019-04-19,'000008,神州高铁,4.72,4.77,4.69,4.76,35045788,165905469.2
2019-04-18,'000008,神州高铁,4.82,4.82,4.71,4.72,41754632,198465625.62
2019-04-17,'000008,神州高铁,4.79,4.84,4.77,4.81,49023917,235572224.45
2019-04-16,'000008,神州高铁,4.72,4.79,4.61,4.79,56652448,265981738.7
2019-04-15,'000008,神州高铁,4.9,4.95,4.73,4.73,63100151,306152582.36
2019-04-12,'000008,神州高铁,4.8,4.85,4.72,4.82,58008360,278552317.59
2019-04-11,'000008,神州高铁,4.91,5.06,4.84,4.84,84341068,417134019.98
2019-04-10,'000008,神州高铁,4.89,4.93,4.8,4.86,64990911,316206686.32
2019-04-09,'000008,神州高铁,4.82,4.99,4.76,4.95,78172340,384105500.44
2019-04-08,'000008,神州高铁,5.01,5.04,4.77,4.85,92505119,452952215.16
2019-04-04,'000008,神州高铁,4.97,5.0,4.83,4.97,107777347,530290613.11
2019-04-03,'000008,神州高铁,4.84,5.14,4.78,4.92,138751160,684876543.36
2019-04-02,'000008,神州高铁,4.73,4.96,4.71,4.85,141141916,684084222.25
2019-04-01,'000008,神州高铁,4.71,4.75,4.62,4.72,109248772,512303688.39
