日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600007,中国国贸,14.47,14.77,14.44,14.59,2228954,32632803.0
2019-04-29,'600007,中国国贸,14.24,14.45,14.14,14.34,1334305,19078686.0
2019-04-26,'600007,中国国贸,14.27,14.32,14.19,14.23,1201904,17121423.0
2019-04-25,'600007,中国国贸,14.52,14.6,14.25,14.29,1655700,23904644.0
2019-04-24,'600007,中国国贸,14.63,14.7,14.4,14.5,1954928,28320619.0
2019-04-23,'600007,中国国贸,14.7,14.75,14.56,14.63,1758119,25765438.0
2019-04-22,'600007,中国国贸,14.87,14.94,14.64,14.69,1263800,18696376.0
2019-04-19,'600007,中国国贸,14.85,14.9,14.7,14.87,1153738,17074147.0
2019-04-18,'600007,中国国贸,14.9,14.98,14.81,14.84,1690086,25178878.0
2019-04-17,'600007,中国国贸,15.18,15.29,14.9,14.97,2347325,35235027.0
2019-04-16,'600007,中国国贸,15.05,15.23,14.77,15.17,2011559,30059876.0
2019-04-15,'600007,中国国贸,15.19,15.31,15.03,15.1,1852450,28087597.0
2019-04-12,'600007,中国国贸,15.23,15.32,14.91,15.06,2900800,43733580.0
2019-04-11,'600007,中国国贸,15.46,15.52,15.16,15.3,1439200,22034560.0
2019-04-10,'600007,中国国贸,15.4,15.51,15.07,15.41,2097688,32128947.0
2019-04-09,'600007,中国国贸,15.5,15.55,15.32,15.41,1616806,24936329.0
2019-04-08,'600007,中国国贸,15.48,15.6,15.25,15.51,2487924,38381307.0
2019-04-04,'600007,中国国贸,15.39,15.54,15.27,15.37,2656899,40912185.0
2019-04-03,'600007,中国国贸,15.36,15.47,15.22,15.38,2875539,44077847.0
2019-04-02,'600007,中国国贸,15.0,15.66,14.9,15.4,4781086,73370198.0
2019-04-01,'600007,中国国贸,14.73,15.09,14.63,15.0,4341954,64779733.0
