日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'600008,首创股份,3.9,3.98,3.89,3.91,18212260,71707722.0
2019-04-29,'600008,首创股份,4.02,4.06,3.9,3.9,26114833,103315060.0
2019-04-26,'600008,首创股份,4.01,4.08,4.0,4.03,21376334,86391900.0
2019-04-25,'600008,首创股份,4.16,4.18,4.01,4.02,27474432,112565268.0
2019-04-24,'600008,首创股份,4.12,4.18,4.12,4.17,17982286,74674682.0
2019-04-23,'600008,首创股份,4.25,4.25,4.11,4.12,26694236,111043122.0
2019-04-22,'600008,首创股份,4.29,4.32,4.22,4.25,22470493,95550355.0
2019-04-19,'600008,首创股份,4.29,4.3,4.21,4.29,22592917,96331166.0
2019-04-18,'600008,首创股份,4.28,4.3,4.24,4.29,24344371,103993278.0
2019-04-17,'600008,首创股份,4.27,4.28,4.23,4.27,28980501,123457037.0
2019-04-16,'600008,首创股份,4.19,4.24,4.09,4.24,31367495,130542068.0
2019-04-15,'600008,首创股份,4.28,4.32,4.18,4.19,30169015,128540271.0
2019-04-12,'600008,首创股份,4.23,4.27,4.21,4.24,20810597,88235590.0
2019-04-11,'600008,首创股份,4.27,4.31,4.22,4.24,28809902,122830571.0
2019-04-10,'600008,首创股份,4.3,4.31,4.23,4.27,31700972,135457137.0
2019-04-09,'600008,首创股份,4.31,4.37,4.26,4.33,35546661,153407704.0
2019-04-08,'600008,首创股份,4.38,4.4,4.23,4.29,51836814,223690347.0
2019-04-04,'600008,首创股份,4.4,4.43,4.3,4.37,58205837,253783913.0
2019-04-03,'600008,首创股份,4.24,4.4,4.23,4.38,81285748,353216818.0
2019-04-02,'600008,首创股份,4.29,4.33,4.24,4.27,58632240,250513677.0
2019-04-01,'600008,首创股份,4.23,4.3,4.17,4.25,65703419,279154001.0
