日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000005,世纪星源,3.26,3.34,3.26,3.3,8028983,26577158.69
2019-04-29,'000005,世纪星源,3.51,3.51,3.26,3.28,12837640,43045491.32
2019-04-26,'000005,世纪星源,3.49,3.62,3.4,3.5,15238298,52794579.74
2019-04-25,'000005,世纪星源,3.7,3.71,3.47,3.49,17227680,61640712.26
2019-04-24,'000005,世纪星源,3.68,3.72,3.64,3.7,8552795,31507394.91
2019-04-23,'000005,世纪星源,3.75,3.76,3.66,3.67,11611828,42823237.43
2019-04-22,'000005,世纪星源,3.79,3.82,3.73,3.74,26847692,100958420.14
2019-04-19,'000005,世纪星源,3.94,4.03,3.78,3.87,44094530,172136589.21
2019-04-18,'000005,世纪星源,3.8,3.95,3.78,3.94,41865368,162987360.77
2019-04-17,'000005,世纪星源,3.86,3.87,3.79,3.81,17727953,67965458.95
2019-04-16,'000005,世纪星源,3.82,3.83,3.68,3.83,14079604,52907280.02
2019-04-15,'000005,世纪星源,3.86,3.89,3.8,3.81,11944814,46029289.04
2019-04-12,'000005,世纪星源,3.83,3.87,3.78,3.84,10295873,39387491.15
2019-04-11,'000005,世纪星源,3.93,3.94,3.81,3.83,13752883,53187664.47
2019-04-10,'000005,世纪星源,3.93,3.94,3.85,3.92,14185672,55250904.74
2019-04-09,'000005,世纪星源,3.91,4.0,3.89,3.94,17572317,69172365.17
2019-04-08,'000005,世纪星源,3.99,4.01,3.86,3.9,25826445,101380999.1
2019-04-04,'000005,世纪星源,4.03,4.05,3.93,3.97,24924211,99490871.28
2019-04-03,'000005,世纪星源,4.01,4.08,3.94,4.04,36589253,146463995.21
2019-04-02,'000005,世纪星源,3.95,4.06,3.9,4.0,42024723,167585511.91
2019-04-01,'000005,世纪星源,3.8,4.15,3.78,3.98,71701169,287958383.17
