日期,股票代码,名称,开盘价,最高价,最低价,收盘价,成交量,成交金额
2019-04-30,'000002,万 科Ａ,29.05,29.16,28.38,28.88,50376388,1449578216.47
2019-04-29,'000002,万 科Ａ,29.01,29.56,29.0,29.35,49838608,1461313479.51
2019-04-26,'000002,万 科Ａ,29.1,29.38,28.9,29.08,39688302,1155739978.18
2019-04-25,'000002,万 科Ａ,29.41,29.86,29.2,29.39,47222093,1392245656.93
2019-04-24,'000002,万 科Ａ,29.8,29.81,29.01,29.6,44745667,1315291224.05
2019-04-23,'000002,万 科Ａ,29.4,29.75,29.25,29.51,59906379,1768285804.72
2019-04-22,'000002,万 科Ａ,30.97,30.97,29.31,29.51,125461075,3759214897.63
2019-04-19,'000002,万 科Ａ,30.61,31.51,30.46,31.48,45455696,1409527110.73
2019-04-18,'000002,万 科Ａ,30.84,30.84,30.31,30.7,45926360,1404300843.22
2019-04-17,'000002,万 科Ａ,31.5,31.5,30.77,30.98,54353405,1683838795.04
2019-04-16,'000002,万 科Ａ,30.75,31.68,30.01,31.64,70918500,2185563502.38
2019-04-15,'000002,万 科Ａ,31.77,32.0,30.88,30.94,55780853,1759310281.91
2019-04-12,'000002,万 科Ａ,31.57,31.77,30.81,31.09,48243677,1504490056.66
2019-04-11,'000002,万 科Ａ,32.65,33.2,31.41,31.84,57378188,1842346196.61
2019-04-10,'000002,万 科Ａ,32.9,33.2,32.4,32.77,53905288,1763295160.77
2019-04-09,'000002,万 科Ａ,32.06,33.6,31.78,33.48,90418699,2952702145.47
2019-04-08,'000002,万 科Ａ,32.28,32.8,31.25,31.54,74488141,2375321233.0
2019-04-04,'000002,万 科Ａ,32.5,33.12,31.75,32.22,69209274,2238380963.93
2019-04-03,'000002,万 科Ａ,31.88,32.52,31.4,32.49,45311653,1450033729.03
2019-04-02,'000002,万 科Ａ,32.13,32.48,31.71,31.99,50927285,1631797324.67
2019-04-01,'000002,万 科Ａ,31.02,33.1,31.0,32.07,107851511,3449265526.13
